tweet_id,airline_sentiment,airline,tweet
567591480085463000,negative,United,@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.
567588278875213000,neutral,Delta,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
567590027375702000,negative,Delta,@JetBlue is REALLY getting on my nerves !! ðŸ˜¡ðŸ˜¡ #nothappy
567592368451248000,negative,United,"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait"
567594449874587000,negative,Southwest,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not."
567594579310825000,negative,United,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion"
567595670463205000,negative,United,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher
567614049425555000,negative,United,"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow."
567617081336950000,negative,Southwest,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?
567617486703853000,negative,United,@united I tried 2 DM it would not go thru... not sure why
567623209026334000,negative,United,"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united"
